S.No.,Year,Name,CTC,CTC_LPA,CSE,CSM,ECE,EEE,IT,MECH,CIVIL,Total
82,2022,QualiZeal,Internship 10 K per month & Employment Rs 4.5 Lakhs,4.5,5,0,2,2,9,0,0,18
83,2022,Prodapt Solutions,Internship 15 K per month & Employment Rs 4.50 Lakhs p.a,4.5,4,0,7,1,2,0,0,14
84,2022,Perficient India Pvt Ltd,Internship 25 K per month & Employment Rs 4.50 Lakhs p.a,4.5,2,0,2,1,2,0,0,7
85,2022,GenY Medium,Internship 12 K per month & Employment Rs 4.50 Lakhs p.a,4.5,1,0,2,2,0,0,0,5
86,2022,EY (G D S) Tax Analyst,Rs.4.50 Lakhs p.a.,4.5,0,0,0,1,0,2,0,3
87,2022,"Medha Servo Drives Pvt. Ltd.,",Rs. 4.50 Lakhs p.a.,4.5,0,0,2,0,0,0,0,2
88,2022,IBM - CodeKnack- CIC,Rs.4.50 Lakhs p.a.,4.5,0,0,1,0,0,0,0,1
89,2022,Cognizant (Gen C & Elevate),Rs.4.00 Lakhs p.a.,4,47,0,43,15,33,20,10,168
90,2022,MindTree,Rs.4.00 Lakhs p.a.,4,27,0,42,12,30,19,5,135
91,2022,Infosys - System Engineer,Rs.4.00 Lakhs p.a.,4,2,0,0,0,0,0,0,2
92,2022,Sonata Software,Rs. 4.00 Lakhs p.a.,4,1,0,2,0,1,0,0,4
93,2022,Tech Mahindra,Rs.3.60 Lakhs p.a.,3.6,1,0,10,0,4,0,0,15
94,2022,TCS - Ninja,Rs.3.50 Lakhs p.a.,3.5,69,0,51,18,62,18,7,225
95,2022,Welspun Flooring,Rs.3.50 Lakhs p.a.,3.5,0,0,0,1,0,1,0,2
96,2022,IDFC Bank,Rs. 3.50 Lakhs p.a.,3.5,2,0,1,0,0,0,0,3
97,2022,Unschool,Internship 13 K per month & Employment Rs 3.5 Lakhs,3.5,1,0,0,0,0,0,0,1
98,2022,ICICI Bank,Rs. 3.35 Lakhs p.a.,3.35,0,0,0,0,0,0,12,12
99,2022,Quest - Global,Rs.3.25 Lakhs p.a.,3.25,1,0,1,0,2,0,0,4
100,2022,SEFE Automation Systems Pvt Ltd,Internship 10 K per month & Employment Rs 3.0 Lakhs,3,0,0,3,5,0,0,0,8
1,2023,Google,"Basic 23.73 LPA, bonus 1.5L & stocks 32500 USD Rs. 52 LPA",23.73,1,0,0,0,0,0,0,1
2,2023,"Microsoft India (R & D) Pvt. Ltd.,","CTC-15.00 LPA, bonus 5 Lakhs & stocks 35000 USD Rs. 48 LPA",15,0,0,0,0,1,0,0,1
3,2023,Service Now,"Internship 70K per month & Rs. 42,60,992 per annum",42.61,2,2,0,0,3,0,0,7
4,2023,Salesforce (Development),Rs.18 Lakhs p.a. Performance Bonus: INR 1.8 L (10% of Base) Sign-on Bonus: INR 4 L RSU's: 25K USD (spread across 4 yrs.),18,1,0,0,0,0,0,0,1
5,2023,"VISA Inc.,",Internship 80 K per month & Employment Rs.28.50 Lakhs p.a.,28.5,1,0,0,0,0,0,0,1
6,2023,CISCO,Internship 98K per month & Employment Rs. 23.60 LPA,23.6,3,0,0,0,4,0,0,7
7,2023,Qualcomm,"New Base Pay -13.50 LPA, bonus 4.5 Lakhs, Relocation : 50000+Benefits & RSU $10000(Vesting is 3 years, 33% of RSU Every Year",13.5,3,0,2,0,0,0,0,5
8,2023,Deliveroo,Internship 75 K per month & Employment Rs.26.00 Lakhs p.a.,26,3,1,0,0,1,0,0,5
9,2023,Wayfair LLC,Internship 70 K per month & Employment Rs 22.00 Lakhs p.a,22,0,0,0,0,1,0,0,1
10,2023,"D.E.Shaw India Private Ltd.,","Internship 1.00 Lakh per month & Employment Rs 21,50,000",21.5,1,0,0,0,0,0,0,1
11,2023,F5 Networks,"Internship 75 K per month & Employment Rs 21,45,666",9,2,1,0,0,3,0,0,6
12,2023,Oracle - GBU,"Internship 50 K per month & Employment CTC 1,450,000 per annum Stocks worth USD 20,000 with a 4 years",14.5,9,4,2,0,6,0,0,21
13,2023,Oracle - EW-GBU,"Internship 50 K per month & Employment CTC 1,324,740 per annum",13.25,7,7,0,2,9,0,0,25
14,2023,Drawin Box,Internship 25 K per month & Employment Rs 16.30 Lakhs p.a,16.3,1,2,0,0,0,0,0,3
15,2023,Pega Systems,"Internship 25 K per month & Employment Rs.10.00 Lakhs p.a. 60,000 Bonus + 69,231 Benefits= 11,29,231 + 5000 USD RSU’s",10,2,3,0,0,6,0,0,11
16,2023,AT & T Global,Internship 45 K per month & Employment Rs 13.00 Lakhs p.a,13,3,3,3,0,2,0,0,11
17,2023,Futures First,Internship 40 K per month & Employment Rs.12.54 Lakhs p.a.,12.54,0,0,2,0,0,0,0,2
18,2023,"Gap Inc.,",Rs 10.50 Lakhs p.a,10.5,0,1,1,0,2,0,0,4
19,2023,Providence India,Rs.10.00 Lakhs p.a.,10,0,1,0,0,2,0,0,3
20,2023,Skill Soft,Rs.10.00 Lakhs p.a.,10,1,0,0,0,4,0,0,5
21,2023,Tejas Networks Pvt. Ltd,Internship 30 K per month & Employment Rs 10.00 Lakhs p.a,10,0,1,0,0,0,0,0,1
22,2023,SAFERTEK IT SOLUTIONS PVT LTD,Internship 25 K per month & Employment Rs 10.00 Lakhs p.a,10,1,0,0,0,0,0,0,1
23,2023,Inncircles,Internship 25 K per month & Employment Rs 10.00 Lakhs p.a,10,0,0,0,0,1,0,0,1
24,2023,Verisk,Internship 30 K per month & Employment Rs 9.20 Lakhs p.a,9.2,2,0,0,0,1,0,0,3
25,2023,S & P Global,Rs.9.00 Lakhs p.a.,9,12,4,0,0,18,0,0,34
26,2023,Salesforce (CSG Support),Internship 40K per month & Rs.9.00 Lakhs p.a.,9,7,0,3,1,1,0,0,12
27,2023,TCS - Prime,Internship 15 K per month & Employment Rs 9.00 Lakhs p.a,9,1,2,2,0,1,0,0,6
28,2023,Accolite Digital,Internship 20 K per month & Employment Rs 9.00 Lakhs p.a,9,2,0,1,0,2,0,0,5
29,2023,Fiserv India Pvt Ltd,Rs.9.00 Lakhs p.a.,9,1,0,0,0,1,0,0,2
30,2023,HSBC Software Development,Rs.9.00 Lakhs p.a.,9,1,0,0,0,1,0,0,2
31,2023,EPAM,Rs.8.00 Lakhs p.a.,8,10,0,0,0,3,0,0,13
32,2023,Principal Global,Internship 20 K per month & Employment Rs 8.00 Lakhs p.a,8,1,1,2,0,5,0,0,9
33,2023,Real Page,Internship 15 K per month & Employment Rs 8.00 Lakhs p.a,8,2,0,0,0,4,0,0,6
34,2023,Deloitte Tax Technology,Rs.7.60 Lakhs p.a.,7.6,2,5,0,0,2,0,0,9
35,2023,Siemens Healthcare Private Limited,Rs.7.50 Lakhs p.a.,7.5,1,0,0,0,0,0,0,1
36,2023,TechnipFMC,Rs.7.24 Lakhs p.a.,7.24,0,0,0,0,0,2,0,2
37,2023,TCS - Digital,Internship 15 K per month & Employment Rs 7.00 Lakhs p.a,7,4,3,12,2,9,1,0,31
38,2023,"MTX Inc.,",Internship 25 K per month & Employment Rs 7.00 Lakhs p.a,7,5,3,0,0,14,0,0,22
39,2023,Saras Analytics,Internship 25 K per month & Employment Rs 7.00 Lakhs p.a,7,0,1,2,0,2,0,0,5
40,2023,Catalog,Internship 20 K per month & Employment Rs 7.00 Lakhs p.a,7,1,0,1,0,0,0,0,2
